total_space_gb,used_space_gb,free_space_gb,disk_stats,disk_partitions
222.3660545349121,103.96136474609375,118.40468978881836,"{'PhysicalDrive0': sdiskio(read_count=100804, write_count=19669, read_bytes=3421849600, write_bytes=1074323968, read_time=977, write_time=29)}","[sdiskpart(device='C:\\', mountpoint='C:\\', fstype='NTFS', opts='rw,fixed', maxfile=255, maxpath=260), sdiskpart(device='E:\\', mountpoint='E:\\', fstype='', opts='cdrom', maxfile=255, maxpath=260)]"
222.3660545349121,103.97867584228516,118.38737869262695,"{'PhysicalDrive0': sdiskio(read_count=109463, write_count=51931, read_bytes=3665420800, write_bytes=2861305856, read_time=984, write_time=51)}","[sdiskpart(device='C:\\', mountpoint='C:\\', fstype='NTFS', opts='rw,fixed', maxfile=255, maxpath=260), sdiskpart(device='E:\\', mountpoint='E:\\', fstype='', opts='cdrom', maxfile=255, maxpath=260)]"
222.3660545349121,103.97872543334961,118.3873291015625,"{'PhysicalDrive0': sdiskio(read_count=109842, write_count=56007, read_bytes=3671339520, write_bytes=2977352192, read_time=985, write_time=55)}","[sdiskpart(device='C:\\', mountpoint='C:\\', fstype='NTFS', opts='rw,fixed', maxfile=255, maxpath=260), sdiskpart(device='E:\\', mountpoint='E:\\', fstype='', opts='cdrom', maxfile=255, maxpath=260)]"
222.3660545349121,103.97850799560547,118.38754653930664,"{'PhysicalDrive0': sdiskio(read_count=109861, write_count=56761, read_bytes=3671799808, write_bytes=2993162752, read_time=985, write_time=55)}","[sdiskpart(device='C:\\', mountpoint='C:\\', fstype='NTFS', opts='rw,fixed', maxfile=255, maxpath=260), sdiskpart(device='E:\\', mountpoint='E:\\', fstype='', opts='cdrom', maxfile=255, maxpath=260)]"
222.3660545349121,103.97860717773438,118.38744735717773,"{'PhysicalDrive0': sdiskio(read_count=109891, write_count=57155, read_bytes=3672250880, write_bytes=3006233088, read_time=985, write_time=55)}","[sdiskpart(device='C:\\', mountpoint='C:\\', fstype='NTFS', opts='rw,fixed', maxfile=255, maxpath=260), sdiskpart(device='E:\\', mountpoint='E:\\', fstype='', opts='cdrom', maxfile=255, maxpath=260)]"
222.3660545349121,103.97903060913086,118.38702392578125,"{'PhysicalDrive0': sdiskio(read_count=110203, write_count=60072, read_bytes=3680047104, write_bytes=3030812160, read_time=986, write_time=56)}","[sdiskpart(device='C:\\', mountpoint='C:\\', fstype='NTFS', opts='rw,fixed', maxfile=255, maxpath=260), sdiskpart(device='E:\\', mountpoint='E:\\', fstype='', opts='cdrom', maxfile=255, maxpath=260)]"
222.3660545349121,103.9791488647461,118.38690567016602,"{'PhysicalDrive0': sdiskio(read_count=110203, write_count=60468, read_bytes=3680047104, write_bytes=3041169408, read_time=986, write_time=57)}","[sdiskpart(device='C:\\', mountpoint='C:\\', fstype='NTFS', opts='rw,fixed', maxfile=255, maxpath=260), sdiskpart(device='E:\\', mountpoint='E:\\', fstype='', opts='cdrom', maxfile=255, maxpath=260)]"
222.3660545349121,103.97993087768555,118.38612365722656,"{'PhysicalDrive0': sdiskio(read_count=110209, write_count=60868, read_bytes=3680137216, write_bytes=3052513792, read_time=986, write_time=57)}","[sdiskpart(device='C:\\', mountpoint='C:\\', fstype='NTFS', opts='rw,fixed', maxfile=255, maxpath=260), sdiskpart(device='E:\\', mountpoint='E:\\', fstype='', opts='cdrom', maxfile=255, maxpath=260)]"
222.3660545349121,103.9781265258789,118.3879280090332,"{'PhysicalDrive0': sdiskio(read_count=110777, write_count=61958, read_bytes=3822094336, write_bytes=3068069888, read_time=987, write_time=58)}","[sdiskpart(device='C:\\', mountpoint='C:\\', fstype='NTFS', opts='rw,fixed', maxfile=255, maxpath=260), sdiskpart(device='E:\\', mountpoint='E:\\', fstype='', opts='cdrom', maxfile=255, maxpath=260)]"
222.3660545349121,103.97818756103516,118.38786697387695,"{'PhysicalDrive0': sdiskio(read_count=110780, write_count=62306, read_bytes=3822139904, write_bytes=3076188672, read_time=987, write_time=58)}","[sdiskpart(device='C:\\', mountpoint='C:\\', fstype='NTFS', opts='rw,fixed', maxfile=255, maxpath=260), sdiskpart(device='E:\\', mountpoint='E:\\', fstype='', opts='cdrom', maxfile=255, maxpath=260)]"
222.3660545349121,103.97818756103516,118.38786697387695,"{'PhysicalDrive0': sdiskio(read_count=110780, write_count=62518, read_bytes=3822139904, write_bytes=3083827712, read_time=987, write_time=58)}","[sdiskpart(device='C:\\', mountpoint='C:\\', fstype='NTFS', opts='rw,fixed', maxfile=255, maxpath=260), sdiskpart(device='E:\\', mountpoint='E:\\', fstype='', opts='cdrom', maxfile=255, maxpath=260)]"
222.3660545349121,103.96625518798828,118.39979934692383,"{'PhysicalDrive0': sdiskio(read_count=117965, write_count=70090, read_bytes=3940050432, write_bytes=3169545728, read_time=990, write_time=60)}","[sdiskpart(device='C:\\', mountpoint='C:\\', fstype='NTFS', opts='rw,fixed', maxfile=255, maxpath=260), sdiskpart(device='E:\\', mountpoint='E:\\', fstype='', opts='cdrom', maxfile=255, maxpath=260)]"
222.3660545349121,103.96635437011719,118.39970016479492,"{'PhysicalDrive0': sdiskio(read_count=117972, write_count=70651, read_bytes=3940222976, write_bytes=3180615680, read_time=990, write_time=61)}","[sdiskpart(device='C:\\', mountpoint='C:\\', fstype='NTFS', opts='rw,fixed', maxfile=255, maxpath=260), sdiskpart(device='E:\\', mountpoint='E:\\', fstype='', opts='cdrom', maxfile=255, maxpath=260)]"
222.3660545349121,103.96240615844727,118.40364837646484,"{'PhysicalDrive0': sdiskio(read_count=117972, write_count=71269, read_bytes=3940222976, write_bytes=3192695296, read_time=990, write_time=61)}","[sdiskpart(device='C:\\', mountpoint='C:\\', fstype='NTFS', opts='rw,fixed', maxfile=255, maxpath=260), sdiskpart(device='E:\\', mountpoint='E:\\', fstype='', opts='cdrom', maxfile=255, maxpath=260)]"
222.3660545349121,103.96257400512695,118.40348052978516,"{'PhysicalDrive0': sdiskio(read_count=117997, write_count=72150, read_bytes=3940455936, write_bytes=3205216768, read_time=990, write_time=62)}","[sdiskpart(device='C:\\', mountpoint='C:\\', fstype='NTFS', opts='rw,fixed', maxfile=255, maxpath=260), sdiskpart(device='E:\\', mountpoint='E:\\', fstype='', opts='cdrom', maxfile=255, maxpath=260)]"
222.3660545349121,103.96269607543945,118.40335845947266,"{'PhysicalDrive0': sdiskio(read_count=118000, write_count=72613, read_bytes=3940517888, write_bytes=3212660736, read_time=990, write_time=62)}","[sdiskpart(device='C:\\', mountpoint='C:\\', fstype='NTFS', opts='rw,fixed', maxfile=255, maxpath=260), sdiskpart(device='E:\\', mountpoint='E:\\', fstype='', opts='cdrom', maxfile=255, maxpath=260)]"
222.3660545349121,103.96269989013672,118.40335464477539,"{'PhysicalDrive0': sdiskio(read_count=118000, write_count=72953, read_bytes=3940517888, write_bytes=3221314560, read_time=990, write_time=62)}","[sdiskpart(device='C:\\', mountpoint='C:\\', fstype='NTFS', opts='rw,fixed', maxfile=255, maxpath=260), sdiskpart(device='E:\\', mountpoint='E:\\', fstype='', opts='cdrom', maxfile=255, maxpath=260)]"
222.3660545349121,103.96281814575195,118.40323638916016,"{'PhysicalDrive0': sdiskio(read_count=118003, write_count=73820, read_bytes=3940616192, write_bytes=3231161344, read_time=990, write_time=63)}","[sdiskpart(device='C:\\', mountpoint='C:\\', fstype='NTFS', opts='rw,fixed', maxfile=255, maxpath=260), sdiskpart(device='E:\\', mountpoint='E:\\', fstype='', opts='cdrom', maxfile=255, maxpath=260)]"
222.3660545349121,103.96313095092773,118.40292358398438,"{'PhysicalDrive0': sdiskio(read_count=118441, write_count=74709, read_bytes=3945702912, write_bytes=3244430848, read_time=990, write_time=63)}","[sdiskpart(device='C:\\', mountpoint='C:\\', fstype='NTFS', opts='rw,fixed', maxfile=255, maxpath=260), sdiskpart(device='E:\\', mountpoint='E:\\', fstype='', opts='cdrom', maxfile=255, maxpath=260)]"
222.3660545349121,103.96343612670898,118.40261840820312,"{'PhysicalDrive0': sdiskio(read_count=118442, write_count=75335, read_bytes=3945735680, write_bytes=3255016448, read_time=990, write_time=64)}","[sdiskpart(device='C:\\', mountpoint='C:\\', fstype='NTFS', opts='rw,fixed', maxfile=255, maxpath=260), sdiskpart(device='E:\\', mountpoint='E:\\', fstype='', opts='cdrom', maxfile=255, maxpath=260)]"
222.3660545349121,103.96359252929688,118.40246200561523,"{'PhysicalDrive0': sdiskio(read_count=118448, write_count=76095, read_bytes=3945738752, write_bytes=3265901568, read_time=990, write_time=64)}","[sdiskpart(device='C:\\', mountpoint='C:\\', fstype='NTFS', opts='rw,fixed', maxfile=255, maxpath=260), sdiskpart(device='E:\\', mountpoint='E:\\', fstype='', opts='cdrom', maxfile=255, maxpath=260)]"
222.3660545349121,103.96371459960938,118.40233993530273,"{'PhysicalDrive0': sdiskio(read_count=118449, write_count=76484, read_bytes=3945739264, write_bytes=3271355392, read_time=990, write_time=64)}","[sdiskpart(device='C:\\', mountpoint='C:\\', fstype='NTFS', opts='rw,fixed', maxfile=255, maxpath=260), sdiskpart(device='E:\\', mountpoint='E:\\', fstype='', opts='cdrom', maxfile=255, maxpath=260)]"
222.3660545349121,103.96371459960938,118.40233993530273,"{'PhysicalDrive0': sdiskio(read_count=118449, write_count=76675, read_bytes=3945739264, write_bytes=3278178304, read_time=990, write_time=65)}","[sdiskpart(device='C:\\', mountpoint='C:\\', fstype='NTFS', opts='rw,fixed', maxfile=255, maxpath=260), sdiskpart(device='E:\\', mountpoint='E:\\', fstype='', opts='cdrom', maxfile=255, maxpath=260)]"
222.3660545349121,103.9549560546875,118.41109848022461,"{'PhysicalDrive0': sdiskio(read_count=118500, write_count=79178, read_bytes=3946305024, write_bytes=3303134208, read_time=990, write_time=66)}","[sdiskpart(device='C:\\', mountpoint='C:\\', fstype='NTFS', opts='rw,fixed', maxfile=255, maxpath=260), sdiskpart(device='E:\\', mountpoint='E:\\', fstype='', opts='cdrom', maxfile=255, maxpath=260)]"
222.3660545349121,103.95700454711914,118.40904998779297,"{'PhysicalDrive0': sdiskio(read_count=119844, write_count=80804, read_bytes=3963731456, write_bytes=3327829504, read_time=991, write_time=67)}","[sdiskpart(device='C:\\', mountpoint='C:\\', fstype='NTFS', opts='rw,fixed', maxfile=255, maxpath=260), sdiskpart(device='E:\\', mountpoint='E:\\', fstype='', opts='cdrom', maxfile=255, maxpath=260)]"
222.3660545349121,103.95766830444336,118.40838623046875,"{'PhysicalDrive0': sdiskio(read_count=119849, write_count=81524, read_bytes=3964077056, write_bytes=3340698112, read_time=991, write_time=67)}","[sdiskpart(device='C:\\', mountpoint='C:\\', fstype='NTFS', opts='rw,fixed', maxfile=255, maxpath=260), sdiskpart(device='E:\\', mountpoint='E:\\', fstype='', opts='cdrom', maxfile=255, maxpath=260)]"
222.3660545349121,103.95776748657227,118.40828704833984,"{'PhysicalDrive0': sdiskio(read_count=119858, write_count=82405, read_bytes=3964145664, write_bytes=3353298944, read_time=991, write_time=68)}","[sdiskpart(device='C:\\', mountpoint='C:\\', fstype='NTFS', opts='rw,fixed', maxfile=255, maxpath=260), sdiskpart(device='E:\\', mountpoint='E:\\', fstype='', opts='cdrom', maxfile=255, maxpath=260)]"
222.3660545349121,103.9583969116211,118.40765762329102,"{'PhysicalDrive0': sdiskio(read_count=132559, write_count=85615, read_bytes=4099344896, write_bytes=3388166144, read_time=994, write_time=69)}","[sdiskpart(device='C:\\', mountpoint='C:\\', fstype='NTFS', opts='rw,fixed', maxfile=255, maxpath=260), sdiskpart(device='E:\\', mountpoint='E:\\', fstype='', opts='cdrom', maxfile=255, maxpath=260)]"
222.3660545349121,103.95850372314453,118.40755081176758,"{'PhysicalDrive0': sdiskio(read_count=132560, write_count=86002, read_bytes=4099345408, write_bytes=3398887936, read_time=994, write_time=69)}","[sdiskpart(device='C:\\', mountpoint='C:\\', fstype='NTFS', opts='rw,fixed', maxfile=255, maxpath=260), sdiskpart(device='E:\\', mountpoint='E:\\', fstype='', opts='cdrom', maxfile=255, maxpath=260)]"
222.3660545349121,103.95867538452148,118.40737915039062,"{'PhysicalDrive0': sdiskio(read_count=132701, write_count=87192, read_bytes=4100997632, write_bytes=3411874816, read_time=994, write_time=69)}","[sdiskpart(device='C:\\', mountpoint='C:\\', fstype='NTFS', opts='rw,fixed', maxfile=255, maxpath=260), sdiskpart(device='E:\\', mountpoint='E:\\', fstype='', opts='cdrom', maxfile=255, maxpath=260)]"
222.3660545349121,103.95880126953125,118.40725326538086,"{'PhysicalDrive0': sdiskio(read_count=132702, write_count=87658, read_bytes=4100998144, write_bytes=3420196864, read_time=994, write_time=70)}","[sdiskpart(device='C:\\', mountpoint='C:\\', fstype='NTFS', opts='rw,fixed', maxfile=255, maxpath=260), sdiskpart(device='E:\\', mountpoint='E:\\', fstype='', opts='cdrom', maxfile=255, maxpath=260)]"
222.3660545349121,103.95886993408203,118.40718460083008,"{'PhysicalDrive0': sdiskio(read_count=132703, write_count=88162, read_bytes=4101014528, write_bytes=3430236672, read_time=994, write_time=70)}","[sdiskpart(device='C:\\', mountpoint='C:\\', fstype='NTFS', opts='rw,fixed', maxfile=255, maxpath=260), sdiskpart(device='E:\\', mountpoint='E:\\', fstype='', opts='cdrom', maxfile=255, maxpath=260)]"
222.3660545349121,103.95894241333008,118.40711212158203,"{'PhysicalDrive0': sdiskio(read_count=132710, write_count=89024, read_bytes=4101050368, write_bytes=3441944576, read_time=994, write_time=71)}","[sdiskpart(device='C:\\', mountpoint='C:\\', fstype='NTFS', opts='rw,fixed', maxfile=255, maxpath=260), sdiskpart(device='E:\\', mountpoint='E:\\', fstype='', opts='cdrom', maxfile=255, maxpath=260)]"
222.3660545349121,103.95894241333008,118.40711212158203,"{'PhysicalDrive0': sdiskio(read_count=132711, write_count=89331, read_bytes=4101050880, write_bytes=3450099712, read_time=994, write_time=71)}","[sdiskpart(device='C:\\', mountpoint='C:\\', fstype='NTFS', opts='rw,fixed', maxfile=255, maxpath=260), sdiskpart(device='E:\\', mountpoint='E:\\', fstype='', opts='cdrom', maxfile=255, maxpath=260)]"
222.3660545349121,103.9591293334961,118.40692520141602,"{'PhysicalDrive0': sdiskio(read_count=132724, write_count=89903, read_bytes=4101384704, write_bytes=3484368384, read_time=994, write_time=71)}","[sdiskpart(device='C:\\', mountpoint='C:\\', fstype='NTFS', opts='rw,fixed', maxfile=255, maxpath=260), sdiskpart(device='E:\\', mountpoint='E:\\', fstype='', opts='cdrom', maxfile=255, maxpath=260)]"
222.3660545349121,103.96077728271484,118.40527725219727,"{'PhysicalDrive0': sdiskio(read_count=132736, write_count=91661, read_bytes=4101640704, write_bytes=3502592000, read_time=994, write_time=72)}","[sdiskpart(device='C:\\', mountpoint='C:\\', fstype='NTFS', opts='rw,fixed', maxfile=255, maxpath=260), sdiskpart(device='E:\\', mountpoint='E:\\', fstype='', opts='cdrom', maxfile=255, maxpath=260)]"
